Title,Genres,Release Date,Release Year,Release Month,Release Country,Movie Rating,Review Rating,Movie Run Time,Language
Gut (2012), Drama| Horror| Thriller,26-Oct-12,2012,Oct,USA,,3.9,91 min,English
The Haunting of Mia Moss (2017), Horror,13-Jan-17,2017,Jan,USA,,,,English
Sleepwalking (2017), Horror,21-Oct-17,2017,Oct,Canada,,,,English
Treasure Chest of Horrors II (2013), Comedy| Horror| Thriller,23-Apr-13,2013,Apr,USA,NOT RATED,3.7,82 min,English
Infidus (2015), Crime| Drama| Horror,10-Apr-15,2015,Apr,USA,,5.8,80 min,Italian
In Extremis (2017), Horror| Thriller,2017,2017,Jan,UK,,,93 min,English
Ghostlight (2013), Drama| Horror| Thriller,3-Jun-14,2014,Jun,USA,NOT RATED,5.1,90 min,English
Parasyte: Part 2 (2015), Action| Drama| Horror| Sci-Fi,25-Apr-15,2015,Apr,Japan,,6.5,117 min,Japanese
Stranger in the House (2015), Horror| Mystery| Thriller,28-May-17,2017,May,Spain,PG-13,4.6,90 min,English
Tutak Tutak Tutiya (2016), Comedy| Horror,7-Oct-16,2016,Oct,India,,5.4,138 min,Hindi
The Strange House (2015), Horror,24-Jul-15,2015,Jul,China,,5.3,87 min,Mandarin
Rise of the Animals (2011), Adventure| Comedy| Horror,1-May-12,2012,May,USA,NOT RATED,3.6,70 min,English
When Death Calls (2012), Horror,28-Apr-12,2012,Apr,USA,,5.9,91 min,English
Dark Medicine (2013), Horror| Sci-Fi,2013,2013,Jan,USA,NOT RATED,2.8,72 min,English
Sexy Durga (2017), Drama| Fantasy| Horror| Mystery| Thriller,21-Mar-17,2017,Mar,USA,,5.9,85 min,Malayalam
Circus of the Dead (2014), Action| Horror| Thriller,13-Jan-17,2017,Jan,USA,,6.0,102 min,English
Zombie Resurrection (2014), Horror,23-Mar-15,2015,Mar,UK,NOT RATED,2.7,86 min,English
Falling (2016), Drama| Horror| Romance| Thriller,8-Apr-16,2016,Apr,USA,,7.1,105 min,English
Bad Behavior (2015), Horror,27-Oct-15,2015,Oct,USA,,,64 min,English
Devil's Tower (2014), Horror,16-Sep-14,2014,Sep,UK,,3.4,82 min,English
I Am ZoZo (2012), Horror| Thriller,18-Feb-12,2012,Feb,USA,UNRATED,3.6,85 min,English
Before Dawn (2013), Horror,8-Jun-13,2013,Jun,Japan,NOT RATED,4.7,82 min,English
Apparition (2015), Fantasy| Horror| Thriller,5-May-15,2015,May,USA,NOT RATED,4.0,100 min,English
Darkroom (2017), Drama| Horror,18-Jan-17,2017,Jan,Philippines,,6.6,95 min,Filipino|Tagalog
