,Review Rating,Filming Locations,Lat,Lon,Place_id,Location Type
0,3.9,"New York, USA",40.68295,-73.9708,513cbd5296217e52c059cf66d5e76a574440c00208e2031d77686f736f6e66697273743a6c6f63616c6974793a3835393737353339,city
1,3.7,"Baltimore, Maryland, USA",39.2908816,-76.610759,5136afeaac162753c0590b81b79b3ba54340f00101f901e108020000000000c00208,neighbourhood
2,6.5,"Tokyo, Japan",35.695126,139.75391,511344dd072078614059b64c86e3f9d84140c00208e2031e77686f736f6e66697273743a6c6f63616c6974793a313032303331333037,quarter
3,4.6,"Warwick, New York, USA",41.279079,-74.420444,512a73f38de89a52c0590d0055dcb8a34440c00208e2031f77686f736f6e66697273743a6c6f63616c6974793a31373239343435313631,region
4,3.6,"Rochester, New York, USA",43.157285,-77.615214,51a5828aaa5f6753c059609335ea21944540f00101f901c5af020000000000c00208,neighbourhood
5,2.8,"Atlanta, Georgia, USA",33.7489924,-84.3902644,51c2b28817fa1855c059ed79a3fbdedf4040f00101f90105d3010000000000c00208,neighbourhood
6,5.9,"Thiruvananthapuram, Kerala, India",8.5241122,76.9360573,51a7abe05ce83b53405985de2c6f580c2140f00103f9017846a30e00000000c00207920312546869727576616e616e746861707572616d,city
7,6,"Odessa, Texas, USA",31.8457149,-102.367687,51850a0e2f889759c0596b3d8dc580d83f40f00101f901e0a6230000000000c00208,region
8,2.7,"Hampshire, England, UK",51.04483545,-1.24340936,512d6b783601e5f3bf59c9b9032bbd854940f00101f9014a2c290000000000c0020992030948616d707368697265,village
9,7.1,"Utica, New York, USA",43.1009031,-75.2326641,51021df7f7e3ce52c05952488d64ea8c4540f00101f9017fad020000000000c00208,region
10,3.4,"Derbyshire, England, UK",53.1185033,-1.556617931,513bd40334e8e7f8bf59eafbba1d2b8f4a40f00101f9010d58010000000000c0020992030a44657262797368697265,village
11,3.6,"San Juan Island, San Juan Islands, Washington, USA",47.2868352,-120.212613,51166d8e739b0d5ec059baab0d04b7a44740f00101f9016786020000000000c0020a,region
12,4.7,"Yorkshire, England, UK",53.9825271,-1.385249993,516af59de5fb29f6bf5984f7b072c3fd4a40f00101f9014b78810000000000c00209920309596f726b7368697265,village
13,4,"Philadelphia, Pennsylvania, USA",39.9527237,-75.1635262,518242983677ca52c059e3cfa6d9f2f94340f00101f90176de020000000000c00208,city
14,4,"Tehuacana, Texas, USA",31.7412763,-96.5469283,5171708edf002358c059c5cc9948c4bd3f40f00101f9017656810000000000c00207,region
15,4.5,"Malibu, California, USA",34.035591,-118.689423,510e87a5811fac5dc0591684f23e8e044140f00101f9013c49350000000000c00207,region
16,2.7,"Sanna Movie Ranch - Soledad Canyon Road, Agua Dulce, California, USA",27.782846,-97.9096856,511969f349387a58c059eecd6f9868c83b40f00101f9016841350000000000c00207,region
17,4.1,"Collingwood, Ontario, Canada",44.5027226,-80.2172379,51e9fcca39e70d54c059e4fad23659404640f00101f9015417720000000000c00208,town
18,4.3,"Buffalo, New York, USA",42.9383918,-78.6847515,51c498f4f7d2ab53c059d3eaf5381d784540f00103f90101b1730900000000c0020592030c426f776d616e7376696c6c65,region
19,5.4,"Houston, Texas, USA",29.7589382,-95.3676974,51c0f4ac5a88d757c05963af1cc649c23d40f00101f9018f07290000000000c00208,suburb
20,4,"Atlanta, Georgia, USA",33.7489924,-84.3902644,51c2b28817fa1855c059ed79a3fbdedf4040f00101f90105d3010000000000c00208,neighbourhood
21,7.1,"Gunung Pancar, Indonesia",-6.591667,106.911944,5124f25d4a5dba5a40595f7d3cf4dd5d1ac0f00103f901055cc93f00000000c0020192030d47756e756e672050616e636172e203236f70656e7374726565746d61703a76656e75653a6e6f64652f31303730313630393031,village
22,5.6,"Dayton, Ohio, USA",39.7665973,-84.1850615,51eb8f300cd80b55c059d8593edc1fe24340f00103f901c9390c9700000000c00207920306446179746f6e,region
23,6.9,"Sarasota, Florida, USA",27.3365805,-82.5308545,51ce1b2785f9a154c059a9f8bf232a563b40f00101f901ddcc010000000000c00208,region
24,4,"Atlanta, Georgia, USA",33.7489924,-84.3902644,51c2b28817fa1855c059ed79a3fbdedf4040f00101f90105d3010000000000c00208,neighbourhood
25,4.7,Tunisia,33.8439408,9.400138,5111c64fe3decc2240594ae18b4006ec4040f00101f901f5f0020000000000c0020b,city
26,5.3,"Cine International, Rome, Lazio, Italy",41.8933203,12.4829321,5190604fe042f72840592cadd05158f24440f00101f9010da2000000000000c00208,city
27,7.3,"Staten Island, New York, USA",40.5726477,-74.14501454,5128540ceb478952c05998d013854c494440f00101f901a9e4930000000000c0020192030d53746174656e2049736c616e64,city
28,2.1,"Los Angeles, California, USA",34.0536909,-118.242766,512ba5677a898f5dc059e1cbe957df064140f00101f901ff29030000000000c00208,city
29,3.6,"Cumbria, England, UK",54.6143136,-2.942089947,5176d13d74668907c05978befad3a14e4b40f00101f9010158010000000000c00209,village
30,4.1,"Baton Rouge, Louisiana, USA",30.4507936,-91.1391153,51e3f7db43e7c856c059013f993567733e40f00101f9016e04020000000000c00208,region
31,3.9,"Toronto, Ontario, Canada",43.6534817,-79.3839347,512c13d96292d853c0596a04d149a5d34540f00101f90173f2040000000000c00208,city
32,4.1,"Pasadena, California, USA",34.1476452,-118.1444779,51aadf3b203f895dc059a8b4b409e6124140f00101f901fddb350000000000c00208,region
33,4.3,"Baltimore, Maryland, USA",39.2908816,-76.610759,5136afeaac162753c0590b81b79b3ba54340f00101f901e108020000000000c00208,neighbourhood
34,4.4,"Joshua Tree, California, USA",34.1350358,-116.315277,51950b957f2d145dc059046564da48114140f00103f901552cc71c01000000c0020792030b4a6f736875612054726565,region
35,4.1,"Nashville, Tennessee, USA",36.1622767,-86.7742984,511756e01a8eb155c0598fb39f7bc5144240f00101f9016003030000000000c00208,region
36,6.6,"Bay Ridge, Brooklyn, New York City, New York, USA",40.7127281,-74.0060152,51d9d1938d628052c0595938a4ac3a5b4440f00101f90121af020000000000c00208,city
37,8.4,"Mexia, Texas, USA",31.307819,-96.62978728,513814506f4e2858c0596216da39cd4e3f40f00102f901e457682400000000c00208,region
38,2,"Pittsburgh, Pennsylvania, USA",40.4416941,-79.9900861,5159ee16925dff53c059072ba96e89384440f00101f90189e0020000000000c00208,neighbourhood
39,3.5,"London, England, UK",51.5073219,-0.1276474,51e5af3500c056c0bf59b5858cecefc04940f00101f9014600010000000000c002089203064c6f6e646f6e,city
40,6.9,"Ellenton, Florida, USA",27.5262425,-82.52146279,5185737aa55fa154c059e94317d4b7863b40f00102f90136e8000200000000c00205920308456c6c656e746f6e,region
41,4.1,"Dallas, Texas, USA",32.7762719,-96.7968559,51fa87e3afff3258c059e2a6abe05c634040f00101f9016d46640000000000c00208,neighbourhood
42,3.5,"The Myers House NC, Hillsborough, North Carolina, USA",36.086788,-79.101925,5144696ff085c653c059b6d782de1b0b4240c00204e203266f70656e7374726565746d61703a7374726565743a706f6c796c696e653a3330363536323736,region
43,4.7,"Middletown, Connecticut, USA",41.54961415,-72.65157757,5144d06572b32952c0599cd5a7c159c64440f00101f90116daa80000000000c00208,city
